1633181842.493256,23,Buy,34
1633182146.452327,45,Sale,34
1633182162.3875113,34,Buy,76
1633182494.422614,45,Buy,34
1633184625.7818215,364,Buy,537
1633184647.5039504,101,Buy,690
1633184688.3097508,350,Sale,424
1633184690.0323446,376,Sale,639
1633184691.9309978,381,Buy,31
1633184693.9811864,149,Sale,641
1633184695.301638,493,Buy,513
1633184696.6926556,457,Sale,833
1633184697.7134044,287,Sale,260
1633184901.5933042,235,Sale,895
1633184917.0610387,369,Sale,333
1633184965.5279205,160,Sale,411
1633184968.9206116,386,Sale,164
1633184970.3590307,423,Buy,527
1633185426.4659185,232,Buy,997
1633185593.801619,228,Buy,325
1633185595.1141229,218,Buy,251
1633185596.2573442,316,Buy,459
1633185597.258149,91,Buy,807
1633185598.1966474,380,Sale,662
1633186766.0140662,211,Sale,669
